X,Y,OBJECTID,DBH,AREA,PLDATE,TREECLASS,CULTIVAR,ADDRESS,STREET,SIDE,ONSTR,LATITUDE,LONGITUDE,SPName
-76.4980467844808,42.4528297569078,1,14,FALL CREEK,UNKNOWN,Street,UNASSIGNED,120,FALLS ST E,Front,FALLS ST E,42.4528212629,-76.4980444207,Silver Maple
-76.4984914626941,42.4528191105431,2,24,FALL CREEK,N/A,Street,UNASSIGNED,118,FALLS ST E,Front,FALLS ST E,42.4528106165,-76.4984890984,Northern Red Oak
-76.4983210039593,42.4528217283405,3,26,FALL CREEK,UNKNOWN,Street,UNASSIGNED,120,FALLS ST E,Front,FALLS ST E,42.4528132343,-76.4983186406,Silver Maple
-76.498239471426,42.4528299001099,4,9,FALL CREEK,UNKNOWN,Street,UNASSIGNED,120,FALLS ST E,Front,FALLS ST E,42.4528214061,-76.4982371079,Japanese Tree Lilac
-76.498117189326,42.4528298092692,5,8,FALL CREEK,UNKNOWN,Street,WINTER KING,120,FALLS ST E,Front,FALLS ST E,42.4528213152,-76.4981148256,Winter King Green Hawthorn
-76.4979243569777,42.4529366852063,6,22,FALL CREEK,UNKNOWN,Street,UNASSIGNED,120,FALLS ST E,Side,TIOGA ST N,42.4529281914,-76.4979219929,London Planetree
-76.4979279282881,42.4530354750529,7,16,FALL CREEK,UNKNOWN,Street,UNASSIGNED,1204,TIOGA ST N,Front,TIOGA ST N,42.4530269814,-76.4979255643,Freeman's Maple
-76.4995836678918,42.453514169001,8,44,FALL CREEK,UNKNOWN,Street,UNASSIGNED,1301,CAYUGA ST N,Side,YORK ST E,42.4535056754,-76.499581303,Norway Maple
-76.4994020833109,42.4535222684526,9,8,FALL CREEK,UNKNOWN,Street,UNASSIGNED,1301,CAYUGA ST N,Side,YORK ST E,42.4535137748,-76.4993997193,Japanese Tree Lilac
-76.4992501480465,42.4535276452809,10,17,FALL CREEK,UNKNOWN,Street,UNASSIGNED,112,YORK ST E,Front,YORK ST E,42.4535191516,-76.4992477838,Green Ash
-76.4991463850329,42.4535330572972,11,29,FALL CREEK,UNKNOWN,Street,UNASSIGNED,112,YORK ST E,Front,YORK ST E,42.4535245637,-76.4991440206,Sugar Maple
-76.4990426330402,42.4535302369629,12,7,FALL CREEK,UNKNOWN,Street,UNASSIGNED,114,YORK ST E,Front,YORK ST E,42.4535217433,-76.4990402684,Japanese Tree Lilac
-76.4989314515162,42.4535411315057,13,5,FALL CREEK,SPRING 2015,Street,UNASSIGNED,116,YORK ST E,Front,YORK ST E,42.4535326379,-76.4989290867,River Birch
-76.4987239278505,42.4535492107809,14,4,FALL CREEK,Spring 2008,Street,UNASSIGNED,118,YORK ST E,Front,YORK ST E,42.4535407172,-76.4987215639,Crabapple
-76.4985719998647,42.4535490985391,15,4,FALL CREEK,SPRING 2015,Street,UNASSIGNED,120,YORK ST E,Front,YORK ST E,42.4535406049,-76.4985696357,River Birch
-76.498483062706,42.4535517768286,16,11,FALL CREEK,UNKNOWN,Street,CRIMSON KING,120,YORK ST E,Front,YORK ST E,42.4535432832,-76.4984806984,'Crimson King' Norway Maple
-76.4983644699249,42.4535626653352,17,10,FALL CREEK,Fall 2011,Street,PURPUREA,120,YORK ST E,Front,YORK ST E,42.4535541717,-76.4983621054,Indian Bean Tree
-76.4982273666529,42.4535598195363,18,10,FALL CREEK,UNKNOWN,Street,CRIMSON KING,120,YORK ST E,Front,YORK ST E,42.4535513259,-76.4982250031,'Crimson King' Norway Maple
-76.4981495498674,42.4535597617347,19,22,FALL CREEK,UNKNOWN,Street,BRADFORD,120,YORK ST E,Front,YORK ST E,42.4535512681,-76.4981471862,'Bradford' Callery Pear
-76.4980754311998,42.4535651948073,20,13,FALL CREEK,UNKNOWN,Street,UNASSIGNED,120,YORK ST E,Front,YORK ST E,42.4535567012,-76.4980730674,Norway Maple
-76.4998735685701,42.4528612865003,21,7,FALL CREEK,UNKNOWN,Street,CENTURION,102,FALLS ST W,Side,CAYUGA ST N,42.4528527926,-76.4998712042,Flowering Crabapple
-76.4998734191978,42.4529737940216,22,9,FALL CREEK,UNKNOWN,Street,RED JEWEL,1204,CAYUGA ST N,Front,CAYUGA ST N,42.4529653003,-76.4998710548,Flowering Crabapple
-76.499884400996,42.4530753332908,23,3,FALL CREEK,Spring 2008,Street,SUGAR CONE,1206,CAYUGA ST N,Front,CAYUGA ST N,42.4530668398,-76.4998820366,Sugar Cone Maple
-76.4998953318359,42.4532152906579,24,12,FALL CREEK,UNKNOWN,Street,AUTUMNALIS,1210,CAYUGA ST N,Front,CAYUGA ST N,42.4532067965,-76.4998929674,Autumn Blooming Higan Cherry
-76.4999026300161,42.4533003627097,25,11,FALL CREEK,UNKNOWN,Street,AUTUMNALIS,1210,CAYUGA ST N,Front,CAYUGA ST N,42.4532918687,-76.4999002656,Autumn Blooming Higan Cherry
-76.4994512295966,42.4527923760074,26,0,FALL CREEK,UNKNOWN,Street,UNASSIGNED,104,FALLS ST E,Front,FALLS ST E,42.4527838819,-76.4994488657,No Tree Wanted
-76.4993215328663,42.452795025114,27,7,FALL CREEK,UNKNOWN,Street,UNASSIGNED,106,FALLS ST E,Front,FALLS ST E,42.4527865311,-76.4993191688,Japanese Tree Lilac
